id,user,uid,version,changeset,timestamp
10714909,wmyrda,1980824,26,51400854,2017-08-24T09:35:12Z
15587464,WJtW,2097920,9,45187380,2017-01-15T10:41:33Z
15779095,wmyrda,1980824,16,51404903,2017-08-24T12:03:53Z
15804626,RitterR,950182,19,53724736,2017-11-12T22:01:35Z
15804627,RitterR,950182,29,53724736,2017-11-12T22:01:35Z
15804629,RitterR,950182,29,53724736,2017-11-12T22:01:35Z
15804630,RitterR,950182,24,53724736,2017-11-12T22:01:36Z
16140504,Piotr Podusowski,2988620,29,48717266,2017-05-16T02:58:37Z
16140511,wmyrda,1980824,17,51404903,2017-08-24T12:03:53Z
16140512,wmyrda,1980824,32,51404903,2017-08-24T12:03:53Z
16237791,rowers2,2445224,23,50134427,2017-07-08T16:06:36Z
16237792,rowers2,2445224,22,45373738,2017-01-22T16:58:08Z
16237794,Dotevo,476764,14,47637035,2017-04-10T20:01:41Z
16237796,LafarM,478109,22,54601819,2017-12-13T16:50:14Z
16237797,wmyrda,1980824,30,51404903,2017-08-24T12:03:54Z
16237799,rowers2,2445224,20,50134229,2017-07-08T15:57:51Z
16237800,rowers2,2445224,20,45369009,2017-01-22T13:05:31Z
16237801,maraf24,2098272,9,39943225,2016-06-10T22:07:17Z
16237803,Dotevo,476764,14,47637035,2017-04-10T20:01:14Z
16237804,rowers2,2445224,18,50134229,2017-07-08T15:57:51Z
16237805,rowers2,2445224,30,50134229,2017-07-08T15:57:51Z
16237807,LafarM,478109,26,54601819,2017-12-13T16:50:14Z
16237809,LafarM,478109,17,54601819,2017-12-13T16:50:14Z
16237810,Dotevo,476764,16,49811456,2017-06-25T10:54:25Z
16237811,Piotr Podusowski,2988620,14,48717266,2017-05-16T02:58:41Z
16237812,rowers2,2445224,20,50134427,2017-07-08T16:06:36Z
16237814,zigal,4617255,14,48852039,2017-05-20T22:26:36Z
16237816,zigal,4617255,13,48852039,2017-05-20T22:26:48Z
16237817,rowers2,2445224,20,50134427,2017-07-08T16:06:36Z
16237818,Dotevo,476764,18,47637035,2017-04-10T19:58:20Z
16237819,Dotevo,476764,11,47637035,2017-04-10T20:00:58Z
16237822,rowers2,2445224,17,49102719,2017-05-30T12:31:59Z
16237824,zigal,4617255,17,48852039,2017-05-20T22:25:53Z
16237826,rowers2,2445224,19,50134427,2017-07-08T16:06:36Z
16313048,rowers2,2445224,23,51300747,2017-08-21T11:12:42Z
16313049,Dotevo,476764,10,47627695,2017-04-10T15:33:34Z
16313050,rowers2,2445224,10,45319308,2017-01-20T06:59:46Z
16313051,Dotevo,476764,19,49811456,2017-06-25T10:53:32Z
16313052,rowers2,2445224,23,51300747,2017-08-21T11:12:42Z
16313053,Dotevo,476764,17,49819271,2017-06-25T17:36:52Z
16313055,rowers2,2445224,17,50590760,2017-07-26T13:55:52Z
16313057,wmyrda,1980824,25,51404903,2017-08-24T12:03:54Z
16313058,wmyrda,1980824,23,51404903,2017-08-24T12:03:54Z
16313061,Piotr Podusowski,2988620,15,48717266,2017-05-16T02:58:42Z
16313065,Dotevo,476764,20,48924557,2017-05-23T18:23:01Z
16313066,rowers2,2445224,13,50134229,2017-07-08T15:57:51Z
16313067,rowers2,2445224,15,50590760,2017-07-26T13:55:52Z
16313068,wmyrda,1980824,25,51404903,2017-08-24T12:03:54Z
16313069,Dotevo,476764,17,47645706,2017-04-11T05:10:15Z
16313070,rowers2,2445224,16,50590760,2017-07-26T13:55:52Z
16313071,Dotevo,476764,15,47637035,2017-04-10T19:58:48Z
16313072,Dotevo,476764,21,47637035,2017-04-10T19:58:53Z
16313073,rowers2,2445224,20,45211953,2017-01-16T10:13:36Z
16313075,Dreamer_,94440,18,47977610,2017-04-20T16:45:07Z
16313077,Dreamer_,94440,13,47977610,2017-04-20T16:44:24Z
16313659,wmyrda,1980824,20,51404903,2017-08-24T12:03:55Z
16313660,rowers2,2445224,13,50134427,2017-07-08T16:06:37Z
16313661,rowers2,2445224,18,50134427,2017-07-08T16:06:37Z
16313662,rowers2,2445224,11,50134760,2017-07-08T16:22:42Z
16313663,rowers2,2445224,13,50134760,2017-07-08T16:22:43Z
16313664,maraf24,2098272,19,42295399,2016-09-20T10:47:00Z
16313665,rowers2,2445224,15,50134760,2017-07-08T16:22:43Z
16313666,Piotr Podusowski,2988620,10,48717266,2017-05-16T02:58:43Z
16314714,rowers2,2445224,27,51971623,2017-09-12T12:35:50Z
16314715,rowers2,2445224,17,50134427,2017-07-08T16:06:37Z
16314717,rowers2,2445224,13,50079552,2017-07-06T09:25:30Z
16314720,rowers2,2445224,8,45486860,2017-01-25T19:09:57Z
16314722,rowers2,2445224,14,50134427,2017-07-08T16:06:37Z
16314723,rowers2,2445224,14,50134760,2017-07-08T16:22:43Z
16314724,wmyrda,1980824,27,51404903,2017-08-24T12:03:55Z
16314727,wmyrda,1980824,22,51404903,2017-08-24T12:03:55Z
16314728,wmyrda,1980824,18,51404903,2017-08-24T12:03:56Z
16314730,wmyrda,1980824,21,51404903,2017-08-24T12:03:56Z
