id,key,value,type
10714909,history,Retrieved from v12,regular
10714909,name,Stara Odra,regular
10714909,de,Alte Oder,name
10714909,eo,Odro,name
10714909,pl,Stara Odra,name
10714909,waterway,river,regular
15587464,bridge,yes,regular
15587464,electrified,contact_line,regular
15587464,frequency,0,regular
15587464,gauge,1435,regular
15587464,layer,1,regular
15587464,maxspeed,60,regular
15587464,passenger_lines,3,regular
15587464,railway,rail,regular
15587464,ref,271,regular
15587464,source,Ortofotomapa_Wroclaw,regular
15587464,usage,main,regular
15587464,voltage,3000,regular
15779095,highway,tertiary,regular
15779095,lanes,2,regular
15779095,maxspeed,50,regular
15779095,name,Świdnicka,regular
15779095,de,Schweidnitzer Straße,name
15779095,pl,Świdnicka,name
15779095,oneway,yes,regular
15779095,maxspeed,PL:urban,source
15779095,surface,asphalt,regular
15804626,highway,primary,regular
15804626,lanes,4,regular
15804626,maxaxleload,10,regular
15804626,maxspeed,40,regular
15804626,name,Plac Grunwaldzki,regular
15804626,oneway,no,regular
15804626,ref,98,regular
15804626,maxaxleload,Rozporządzenie Ministra Infrastruktury i Budownictwa z dnia 21 kwietnia 2017 r,source
15804626,maxspeed,sign,source
15804626,surface,asphalt,regular
15804627,highway,primary,regular
15804627,lanes,3,regular
15804627,maxaxleload,10,regular
15804627,maxspeed,40,regular
15804627,name,Plac Grunwaldzki,regular
15804627,de,Grunwaldplatz,name
15804627,pl,Plac Grunwaldzki,name
15804627,oneway,yes,regular
15804627,ref,98,regular
15804627,maxaxleload,Rozporządzenie Ministra Infrastruktury i Budownictwa z dnia 21 kwietnia 2017 r,source
15804627,maxspeed,sign,source
15804627,surface,asphalt,regular
15804629,bicycle,no,regular
15804629,bridge,viaduct,regular
15804629,foot,no,regular
15804629,highway,primary,regular
15804629,horse,no,regular
15804629,lanes,2,regular
15804629,layer,1,regular
15804629,maxaxleload,10,regular
15804629,maxspeed,40,regular
15804629,maxweight,20,regular
15804629,old_ref,8;E 67,regular
15804629,oneway,yes,regular
15804629,ref,98,regular
15804629,maxaxleload,Rozporządzenie Ministra Infrastruktury i Budownictwa z dnia 21 kwietnia 2017 r,source
15804629,maxweight,sign,source
15804629,surface,asphalt,regular
15804630,highway,primary,regular
15804630,lanes,2,regular
15804630,maxaxleload,10,regular
15804630,maxspeed,50,regular
15804630,conditional,60 @ (23:00-05:00),maxspeed
15804630,oneway,yes,regular
15804630,ref,98,regular
15804630,maxaxleload,Rozporządzenie Ministra Infrastruktury i Budownictwa z dnia 21 kwietnia 2017 r,source
15804630,maxspeed,PL:urban,source
15804630,surface,asphalt,regular
16140504,right,lane,busway
16140504,right,lane,cycleway
16140504,highway,secondary,regular
16140504,lanes,3,regular
16140504,maxspeed,50,regular
16140504,name,Legnicka,regular
16140504,oneway,yes,regular
16140504,maxspeed,PL:urban,source
16140504,surface,asphalt,regular
16140504,lanes,left;reverse|through|through|through,turn
16140511,highway,tertiary,regular
16140511,lanes,2,regular
16140511,maxspeed,50,regular
16140511,name,Świdnicka,regular
16140511,de,Schweidnitzer Straße,name
16140511,pl,Świdnicka,name
16140511,oneway,yes,regular
16140511,maxspeed,PL:urban,source
16140511,surface,asphalt,regular
16140512,lanes,no|no|designated,bicycle
16140512,cycleway,lane,regular
16140512,lanes,no|yes|no,hgv
16140512,highway,tertiary,regular
16140512,lanes,2,regular
16140512,maxspeed,50,regular
16140512,name,Świdnicka,regular
16140512,de,Schweidnitzer Straße,name
16140512,pl,Świdnicka,name
16140512,note,pas rowerowy po prawej stronie,regular
16140512,oneway,yes,regular
16140512,maxspeed,PL:urban,source
16140512,surface,asphalt,regular
16140512,lanes,yes|yes|no,vehicle
16237791,highway,tertiary,regular
16237791,lanes,2,regular
16237791,maxspeed,50,regular
16237791,name,Nowy Świat,regular
16237791,oneway,yes,regular
16237791,maxspeed,PL:urban,source
16237791,surface,asphalt,regular
16237792,highway,secondary,regular
16237792,lanes,3,regular
16237792,maxspeed,50,regular
16237792,conditional,60 @ (23:00-05:00),maxspeed
16237792,name,Plac Powstańców Warszawy,regular
16237792,oneway,yes,regular
16237792,maxspeed,PL:urban,source
16237792,surface,asphalt,regular
16237792,lanes,through|through|through;right,turn
16237794,bicycle,no,regular
16237794,highway,secondary,regular
16237794,lanes,2,regular
16237794,maxspeed,50,regular
16237794,conditional,60 @ (23:00-05:00),maxspeed
16237794,name,Oławska,regular
16237794,oneway,yes,regular
16237794,maxspeed,PL:urban,source
16237794,surface,asphalt,regular
16237796,bicycle,no,regular
16237796,destination,Urząd Wojewódzki;Katedra,regular
16237796,colour:back,blue;brown,destination
16237796,colour:text,white,destination
16237796,foot,no,regular
16237796,highway,secondary,regular
16237796,lanes,2,regular
16237796,maxspeed,50,regular
16237796,conditional,60 @ (23:00-05:00),maxspeed
16237796,maxweight,10,regular
16237796,oneway,yes,regular
16237796,maxspeed,PL:urban,source
16237796,surface,asphalt,regular
16237797,highway,secondary,regular
16237797,lanes,2,regular
16237797,maxspeed,50,regular
16237797,conditional,60 @ (23:00-05:00),maxspeed
16237797,name,Kardynała Stefana Wyszyńskiego,regular
16237797,de,Adalbertstraße,name
16237797,pl,Kardynała Stefana Wyszyńskiego,name
16237797,oneway,yes,regular
16237797,maxspeed,PL:urban,source
16237797,surface,asphalt,regular
16237799,highway,primary_link,regular
16237799,lanes,2,regular
16237799,maxspeed,50,regular
16237799,conditional,60 @ (23:00-05:00),maxspeed
16237799,oneway,yes,regular
16237799,maxspeed,PL:urban,source
16237799,surface,asphalt,regular
16237800,highway,secondary_link,regular
16237800,lanes,2,regular
16237800,maxspeed,50,regular
16237800,conditional,60 @ (23:00-05:00),maxspeed
16237800,oneway,yes,regular
16237800,maxspeed,PL:urban,source
16237800,surface,asphalt,regular
16237801,cycleway,lane,regular
16237801,highway,tertiary,regular
16237801,lanes,2,regular
16237801,maxspeed,50,regular
16237801,conditional,60 @ (23:00-05:00),maxspeed
16237801,name,Kazimierza Wielkiego,regular
16237801,oneway,yes,regular
16237801,maxspeed,PL:urban,source
16237801,surface,asphalt,regular
16237803,highway,secondary,regular
16237803,lanes,2,regular
16237803,maxspeed,50,regular
16237803,conditional,60 @ (23:00-05:00),maxspeed
16237803,name,Oławska,regular
16237803,oneway,yes,regular
16237803,maxspeed,PL:urban,source
16237803,surface,asphalt,regular
16237804,highway,tertiary,regular
16237804,lanes,2,regular
16237804,maxspeed,50,regular
16237804,conditional,60 @ (23:00-05:00),maxspeed
16237804,name,Oławska,regular
16237804,oneway,yes,regular
16237804,maxspeed,PL:urban,source
16237804,surface,asphalt,regular
16237805,highway,secondary,regular
16237805,lanes,3,regular
16237805,maxspeed,50,regular
16237805,conditional,60 @ (23:00-05:00),maxspeed
16237805,name,Kazimierza Wielkiego,regular
16237805,oneway,yes,regular
16237805,maxspeed,PL:urban,source
16237805,surface,asphalt,regular
16237807,bicycle,no,regular
16237807,bridge,yes,regular
16237807,highway,secondary,regular
16237807,lanes,2,regular
16237807,layer,1,regular
16237807,maxspeed,50,regular
16237807,conditional,60 @ (23:00-05:00),maxspeed
16237807,maxweight,10,regular
16237807,oneway,yes,regular
16237807,maxspeed,PL:urban,source
16237807,maxweight,sign,source
16237807,maxweight,https://www.flickr.com/photos/124589265@N07/14066825677,source_ref
16237807,surface,asphalt,regular
16237809,highway,secondary,regular
16237809,lanes,2,regular
16237809,maxspeed,40,regular
16237809,name,Plac Powstańców Warszawy,regular
16237809,oneway,yes,regular
16237809,surface,asphalt,regular
16237810,highway,secondary_link,regular
16237810,lanes,1,regular
16237810,maxspeed,50,regular
