id,key,value,type
145744978,railway,switch,regular
145744978,ref,10,regular
158719881,highway,traffic_signals,regular
158719894,bus,yes,regular
158719894,highway,bus_stop,regular
158719894,name,Urząd Wojewódzki,regular
158719894,public_transport,stop_position,regular
158719894,zdik,20301,ref
158719917,bus,yes,regular
158719917,highway,bus_stop,regular
158719917,name,pl. Grunwaldzki,regular
158719917,public_transport,stop_position,regular
158719917,zdik,20921,ref
158719917,wheelchair,yes,regular
158719918,crossing,traffic_signals,regular
158719918,crossing_ref,zebra,regular
158719918,highway,crossing,regular
158719995,bicycle,yes,regular
158719995,crossing,traffic_signals,regular
158719995,highway,crossing,regular
163019295,crossing,traffic_signals,regular
163019295,highway,crossing,regular
163019314,source,Ortofotomapa_Wroclaw,regular
163019318,source,Ortofotomapa_Wroclaw,regular
163019332,source,Ortofotomapa_Wroclaw,regular
163019353,bus,yes,regular
163019353,bus_stop,pole,regular
163019353,highway,bus_stop,regular
163019353,name,pl. Strzegomski (Muzeum Współczesne),regular
163019353,public_transport,stop_position,regular
163019353,zdik,10505,ref
163019563,source,Ortofotomapa_Wroclaw,regular
163019587,source,Ortofotomapa_Wroclaw,regular
165109380,fixme,Jak tu oznaczyć zakazy zawracania zgodne z oznakowaniem?,regular
165109469,highway,traffic_signals,regular
165109552,highway,traffic_signals,regular
165109652,highway,traffic_signals,regular
165109660,highway,traffic_signals,regular
165109798,highway,traffic_signals,regular
165109880,bus,yes,regular
165109880,highway,bus_stop,regular
165109880,name,Katedra,regular
165109880,public_transport,stop_position,regular
165109880,zdik,20932,ref
165109970,source,Ortofotomapa_Wroclaw,regular
165109974,source,Ortofotomapa_Wroclaw,regular
165109988,crossing,traffic_signals,regular
165109988,highway,crossing,regular
165110002,highway,traffic_signals,regular
165110005,source,Ortofotomapa_Wroclaw,regular
165110009,source,Ortofotomapa_Wroclaw,regular
165110016,source,Ortofotomapa_Wroclaw,regular
167074415,highway,traffic_signals,regular
167074594,bicycle,yes,regular
167074594,crossing,traffic_signals,regular
167074594,highway,crossing,regular
167074602,bus,yes,regular
167074602,highway,bus_stop,regular
167074602,name,pl. Bema,regular
167074602,public_transport,stop_position,regular
167074602,zdik,20906,ref
167074692,bicycle,yes,regular
167074692,crossing,traffic_signals,regular
167074692,highway,crossing,regular
167074717,bicycle,yes,regular
167074717,crossing,traffic_signals,regular
167074717,highway,crossing,regular
167074791,highway,traffic_signals,regular
167074794,created_by,JOSM,regular
167074804,highway,crossing,regular
167074807,highway,traffic_signals,regular
167074839,bicycle,yes,regular
167074839,crossing,traffic_signals,regular
167074839,highway,crossing,regular
167074929,source,Ortofotomapa_Wroclaw,regular
167074955,source,Ortofotomapa_Wroclaw,regular
167074968,source,Ortofotomapa_Wroclaw,regular
167105519,highway,traffic_signals,regular
167105606,source,Ortofotomapa_Wroclaw,regular
167105614,highway,traffic_signals,regular
167105614,source,Ortofotomapa_Wroclaw,regular
167130925,crossing,traffic_signals,regular
167130925,highway,crossing,regular
167130950,highway,traffic_signals,regular
167130960,source,Ortofotomapa_Wroclaw,regular
167130965,source,Ortofotomapa_Wroclaw,regular
167130983,crossing,traffic_signals,regular
167130983,highway,crossing,regular
167154701,highway,traffic_signals,regular
171221810,highway,traffic_signals,regular
171221884,highway,crossing,regular
171221933,source,Ortofotomapa_Wroclaw,regular
171222080,crossing,traffic_signals,regular
171222080,highway,crossing,regular
171222142,highway,traffic_signals,regular
171222241,bus,yes,regular
171222241,highway,bus_stop,regular
171222241,name,Dmowskiego,regular
171222241,public_transport,stop_position,regular
171222241,zdik,10522,ref
171222315,source,Ortofotomapa_Wroclaw,regular
171222341,source,Ortofotomapa_Wroclaw,regular
171222384,crossing,uncontrolled,regular
171222384,cycleway,crossing,regular
173178114,bicycle,yes,regular
173178114,crossing,traffic_signals,regular
173178114,highway,crossing,regular
173178126,highway,traffic_signals,regular
173178138,crossing,traffic_signals,regular
173178138,highway,traffic_signals,regular
173178240,crossing,traffic_signals,regular
173178240,highway,crossing,regular
173178291,crossing,traffic_signals,regular
173178291,crossing_ref,zebra,regular
173178291,highway,crossing,regular
173178316,highway,crossing,regular
173178343,note,znak: Nakaz jazdy prosto z tabliczką: nie dotyczy rowerów,regular
173178354,crossing,traffic_signals,regular
173178354,highway,crossing,regular
173178431,traffic_calming,table,regular
173178551,highway,crossing,regular
173374079,name,Hutmen,regular
173374079,public_transport,stop_position,regular
173374079,railway,tram_stop,regular
173374079,zdik,11603,ref
173374079,tram,yes,regular
173944885,highway,crossing,regular
173944902,traffic_calming,bump,regular
173944907,traffic_calming,hump,regular
173944920,traffic_calming,bump,regular
173945001,traffic_calming,island,regular
173945016,created_by,JOSM,regular
173945058,highway,crossing,regular
173945068,crossing,traffic_signals,regular
173945068,highway,crossing,regular
173945073,crossing,traffic_signals,regular
173945073,highway,crossing,regular
178983921,traffic_calming,island,regular
184191026,crossing,traffic_signals,regular
184191026,highway,crossing,regular
184191112,bus,yes,regular
184191112,highway,bus_stop,regular
184191112,name,Dworzec Główny,regular
184191112,public_transport,stop_position,regular
184191112,zdik,120268,ref
184191128,crossing,traffic_signals,regular
184191128,crossing_ref,zebra,regular
184191128,highway,crossing,regular
184314579,highway,traffic_signals,regular
185460489,highway,traffic_signals,regular
185460493,highway,traffic_signals,regular
185460546,crossing,traffic_signals,regular
185460546,highway,crossing,regular
185460594,crossing,traffic_signals,regular
185460594,cycleway,crossing,regular
185460594,highway,crossing,regular
185460615,highway,crossing,regular
185460649,highway,crossing,regular
185460843,highway,traffic_signals,regular
185460856,crossing,traffic_signals,regular
185460856,highway,crossing,regular
185491232,created_by,JOSM,regular
185491254,source,Ortofotomapa_Wroclaw,regular
185553742,highway,crossing,regular
185553814,highway,traffic_signals,regular
185586356,crossing,traffic_signals,regular
185586356,highway,crossing,regular
185586360,crossing,traffic_signals,regular
185586360,highway,crossing,regular
186243336,created_by,JOSM,regular
186243405,created_by,JOSM,regular
215484072,traffic_calming,hump,regular
215713240,barrier,lift_gate,regular
228754818,highway,crossing,regular
232400756,highway,crossing,regular
232400813,created_by,JOSM,regular
232400848,created_by,JOSM,regular
232400856,created_by,JOSM,regular
232400870,created_by,JOSM,regular
232400885,created_by,JOSM,regular
232400890,created_by,JOSM,regular
232400894,created_by,JOSM,regular
232400899,created_by,JOSM,regular
232400919,crossing,traffic_signals,regular
232400919,highway,crossing,regular
232428886,highway,traffic_signals,regular
241937246,highway,traffic_signals,regular
241937321,bicycle,yes,regular
241937321,highway,crossing,regular
243092532,traffic_calming,bump,regular
243092535,traffic_calming,bump,regular
243092540,created_by,JOSM,regular
243092543,created_by,JOSM,regular
243669359,highway,traffic_signals,regular
243700882,created_by,JOSM,regular
243700964,created_by,JOSM,regular
243700967,created_by,JOSM,regular
243705671,source,Ortofotomapa_Wroclaw,regular
243705740,source,Ortofotomapa_Wroclaw,regular
243705753,source,Ortofotomapa_Wroclaw,regular
243705776,highway,crossing,regular
243705782,highway,crossing,regular
243705825,created_by,JOSM,regular
243705826,created_by,JOSM,regular
243775403,source,Ortofotomapa_Wroclaw,regular
243778487,highway,crossing,regular
243791006,crossing,traffic_signals,regular
243791006,highway,crossing,regular
243791013,traffic_calming,bump,regular
243791015,traffic_calming,bump,regular
243791653,highway,turning_circle,regular
243792601,crossing,traffic_signals,regular
243792601,highway,crossing,regular
243792999,note,zakaz wjazdu z wyjątkiem rowerów w kierunku kościoła,regular
243793658,created_by,JOSM,regular
243871062,source,Ortofotomapa_Wroclaw,regular
243871064,source,Ortofotomapa_Wroclaw,regular
243871066,source,Ortofotomapa_Wroclaw,regular
243871069,source,Ortofotomapa_Wroclaw,regular
244060117,amenity,parking,regular
